Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"""Pandora"" Jumping a Hurdle, Bareback; Rider Nude: Plate 647 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"6 3/8 x 16 7/8"" (16.2 x 42.8 cm)",Gift of the Philadelphia Commercial Museum,170.1937,Photograph,Photography,3/17/37,N,47292,,,,,,16.2,,,42.8,,
Galloping Horse with Jockey,Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,,Gift of the Philadelphia Commercial Museum,171.1937,Photograph,Photography,3/17/37,N,47310,,,,,,,,,,,
Woman Lifting a 30-lb. Basket from Ground to Head and Turning: Plate 230 from Animal Locomotion (1887),Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"7 3/16 x 16 1/8"" (18.2 x 41 cm)",Gift of the Philadelphia Commercial Museum,172.1937,Photograph,Photography,3/17/37,N,47329,,,,,,18.2,,,41,,
Jumping; Handspring; Somersault; Springing over a Man's Back: Plate 522 from Animal Locomotion (1887),Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"10 1/8 x 11 3/4"" (25.8 x 29.8 cm)",Gift of the Philadelphia Commercial Museum,173.1937,Photograph,Photography,3/17/37,Y,47348,http://www.moma.org/collection/works/47348,http://www.moma.org/media/W1siZiIsIjI5MDUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=9eeac871f5f0fe53,,,,25.8,,,29.8,,
"""Dread"" Galloping: Plate 707 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"7 13/16 x 15 3/16"" (19.8 x 38.6 cm)",Gift of the Philadelphia Commercial Museum,174.1937,Photograph,Photography,3/17/37,N,47366,,,,,,19.8,,,38.6,,
Lion Walking: Plate 722 from Animal Locomotion (1887),Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"7 13/16 x 15 15/16"" (19.9 x 40.5 cm)",Gift of the Philadelphia Commercial Museum,175.1937,Photograph,Photography,3/17/37,N,47383,,,,,,19.9,,,40.5,,
Man Throwing the Hammer: Plate 309 from Animal Locomotion (1887),Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"8 3/8 x 12 15/16"" (21.3 x 32.8 cm)",Gift of the Philadelphia Commercial Museum,176.1937,Photograph,Photography,3/17/37,N,47399,,,,,,21.3,,,32.8,,
Cockatoo Flying: Plate 759 from Animal Locomotion (1887),Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"6 5/8 x 17 1/2"" (16.9 x 44.4 cm)",Gift of the Philadelphia Commercial Museum,177.1937,Photograph,Photography,3/17/37,N,47425,,,,,,16.9,,,44.4,,
"""Johnson"" Hauling, Man Pulling at Head: Plate 573 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"7 13/16 x 14 5/16"" (19.9 x 36.4 cm)",Gift of the Philadelphia Commercial Museum,178.1937,Photograph,Photography,3/17/37,N,47502,,,,,,19.9,,,36.4,,
"Man Jumping, Running Twist High Jump: Plate 158 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"5 1/2 x 18 1/4"" (14 x 46.3 cm)",Gift of the Philadelphia Commercial Museum,179.1937,Photograph,Photography,3/17/37,N,47636,,,,,,14,,,46.3,,
"Head-spring, a Flying Pigeon Interfering: Plate 365 from Animal Locomotion (1887",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"8 x 14 7/16"" (20.4 x 36.7 cm)",Gift of the Philadelphia Commercial Museum,180.1937,Photograph,Photography,3/17/37,Y,47670,http://www.moma.org/collection/works/47670,http://www.moma.org/media/W1siZiIsIjIwMDk3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b397fd5fb9e76d77,,,,20.4,,,36.7,,
American Eagle Flying Near the Ground: Plate 771 from Animal Locomotion (1887),Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"8 7/16 x 13 3/4"" (21.4 x 34.9 cm)",Gift of the Philadelphia Commercial Museum,181.1937,Photograph,Photography,3/17/37,Y,47739,http://www.moma.org/collection/works/47739,http://www.moma.org/media/W1siZiIsIjIwMDk3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9c7bebe2d215c68e,,,,21.4,,,34.9,,
Child Walking and Crawling Up Stairs: Plate 480 from Animal Locomotion (1887,Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"5 1/8 x 17 15/16"" (13 x 45.6 cm)",Gift of the Philadelphia Commercial Museum,182.1937,Photograph,Photography,3/17/37,N,47779,,,,,,13,,,45.6,,
Red-Tailed Hawk Flying: Plate 763 from Animal Locomotion,Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"9 13/16 x 11 1/2"" (25 x 29.2 cm)",Gift of the Philadelphia Commercial Museum,183.1937,Photograph,Photography,3/17/37,Y,47917,http://www.moma.org/collection/works/47917,http://www.moma.org/media/W1siZiIsIjIyMzk5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c24bdc438835be16,,,,25,,,29.2,,
Cockatoo Flying: Plate 762 from Animal Locomotion,Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"7 13/16 x 14 1/4"" (19.8 x 36.2 cm)",Gift of the Philadelphia Commercial Museum,184.1937,Photograph,Photography,3/17/37,Y,47935,http://www.moma.org/collection/works/47935,http://www.moma.org/media/W1siZiIsIjIxMDU4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c7b6a8749e6502f5,,,,19.8,,,36.2,,
"Miscellaneous, Stooping, Kneeling, etc.: Plate 502 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"8 5/16 x 13 7/8"" (21.2 x 35.2 cm)",Gift of the Philadelphia Commercial Museum,185.1937,Photograph,Photography,3/17/37,Y,47953,http://www.moma.org/collection/works/47953,http://www.moma.org/media/W1siZiIsIjIwMDk4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2c19afa023a6ab66,,,,21.2,,,35.2,,
"Two Women Walking, Meeting and Partly Turning: Plate 45 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"8 11/16 x 13 7/16"" (22 x 34.2 cm)",Gift of the Philadelphia Commercial Museum,186.1937,Photograph,Photography,3/17/37,Y,47972,http://www.moma.org/collection/works/47972,http://www.moma.org/media/W1siZiIsIjEwNjg1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6f322357b93869ab,,,,22,,,34.2,,
Lawn Tennis: Plate 298 from Animal Locomotion (1887),Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"9 11/16 x 12"" (24.6 x 30.5 cm)",Gift of the Philadelphia Commercial Museum,187.1937,Photograph,Photography,3/17/37,Y,47991,http://www.moma.org/collection/works/47991,http://www.moma.org/media/W1siZiIsIjIwMDk4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6de3fbf7939c027c,,,,24.6,,,30.5,,
Bricklaying: Plate 505 from Animal Locomotion (1887),Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"8 7/8 x 13 9/16"" (22.5 x 34.5 cm)",Gift of the Philadelphia Commercial Museum,188.1937,Photograph,Photography,3/17/37,Y,48019,http://www.moma.org/collection/works/48019,http://www.moma.org/media/W1siZiIsIjIxMDYxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8eb42fd531d23aef,,,,22.5,,,34.5,,
"""Lizzie M."" Trotting, Harnessed to Sulky: Plate 609 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"7 13/16 x 14 3/8"" (19.8 x 36.6 cm)",Gift of the Philadelphia Commercial Museum,189.1937,Photograph,Photography,3/17/37,Y,48054,http://www.moma.org/collection/works/48054,http://www.moma.org/media/W1siZiIsIjIwMDk5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=089b37a421f4426d,,,,19.8,,,36.6,,
Man Walking,Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Glass transparency,"3 5/16 x 1 15/16"" (8.4 x 5 cm)",Gift of the Philadelphia Commercial Museum,190.1937,Photograph,Photography,3/17/37,N,48075,,,,,,8.4,,,5,,
"Baseball, Man Running and Picking Up Ball: Plate 287 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Glass transparency,"3 1/4 x 2 3/8"" (8.2 x 6 cm)",Gift of the Philadelphia Commercial Museum,191.1937,Photograph,Photography,3/17/37,N,48095,,,,,,8.2,,,6,,
"Baseball, Man Running and Picking Up Ball: Plate 287 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Glass transparency,"3 1/4 x 2 5/16"" (8.2 x 5.9 cm)",Gift of the Philadelphia Commercial Museum,192.1937,Photograph,Photography,3/17/37,N,48115,,,,,,8.2,,,5.9,,
"Baseball, Man Running and Picking Up Ball: Plate 287 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Glass transparency,"3 1/4 x 2 3/8"" (8.2 x 6 cm)",Gift of the Philadelphia Commercial Museum,193.1937,Photograph,Photography,3/17/37,N,48149,,,,,,8.2,,,6,,
Man Rowing: Plate 328 from Animal Locomotion (1887),Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Glass transparency,"2 7/8 x 2 3/8"" (7.3 x 6 cm)",Gift of the Philadelphia Commercial Museum,194.1937,Photograph,Photography,3/17/37,N,48196,,,,,,7.3,,,6,,
Woman Walking,Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Glass transparency,"3 7/8 x 1 15/16"" (9.8 x 4.9 cm)",Gift of the Philadelphia Commercial Museum,195.1937,Photograph,Photography,3/17/37,N,48218,,,,,,9.8,,,4.9,,
"Woman Ascending Incline, Bucket of Water in Right Hand: Plate 83 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Glass transparency,"3 9/16 x 1 7/16"" (9 x 3.7 cm)",Gift of the Philadelphia Commercial Museum,196.1937,Photograph,Photography,3/17/37,N,48239,,,,,,9,,,3.7,,
Man Ascending Ladder: Plate III from Animal Locomotion (1887),Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Glass transparency,"3 15/16 x 1 1/4"" (10.1 x 3.1 cm)",Gift of the Philadelphia Commercial Museum,197.1937,Photograph,Photography,3/17/37,N,48259,,,,,,10.1,,,3.1,,
Man Walking: Plate 2 from Animal Locomotion (1887),Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Glass transparency,"3 9/16 x 1 1/8"" (9 x 2.8 cm)",Gift of the Philadelphia Commercial Museum,198.1937,Photograph,Photography,3/17/37,N,48278,,,,,,9,,,2.8,,
"Man Jumping, Running Straight High Jump",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Glass transparency,"4 5/16 x 3 1/4"" (10.9 x 8.3 cm)",Gift of the Philadelphia Commercial Museum,199.1937,Photograph,Photography,3/17/37,N,48297,,,,,,10.9,,,8.3,,
"Man Jumping, Pole Vaulting: Plate 165 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Glass transparency,"4 1/4 x 1 15/16"" (10.8 x 5 cm)",Gift of the Philadelphia Commercial Museum,200.1937,Photograph,Photography,3/17/37,N,48345,,,,,,10.8,,,5,,
"Man Jumping, Pole Vaulting: Plate 165 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Glass transparency,"4 1/4 x 1 15/16"" (10.8 x 5 cm)",Gift of the Philadelphia Commercial Museum,201.1937,Photograph,Photography,3/17/37,N,48364,,,,,,10.8,,,5,,
Pole Vaulter (C),Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Glass transparency,,Gift of the Philadelphia Commercial Museum,202.1937,Photograph,Photography,3/17/37,N,48382,,,,,,,,,,,
"""Fix"" and ""Unfix Bayonets""",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Glass transparency,"3 5/8 x 1 1/4"" (9.2 x 3.1 cm)",Gift of the Philadelphia Commercial Museum,203.1937,Photograph,Photography,3/17/37,N,48401,,,,,,9.2,,,3.1,,
